course_code,course_title,credits,course_type
UFUG 1102,CalculusI,3,Fundamental
UFUG 1103,CalculusII,3,Fundamental
UFUG 1105,HonorsCalculusI,3,Fundamental
UFUG 1106,HonorsCalculusII,3,Fundamental
UFUG 1301,GeneralChemistry,3,Fundamental
UFUG 1302,HonorsChemistryI,3,Fundamental
UFUG 1401,GeneralBiologyI,3,Fundamental
UFUG 1501,GeneralPhysicsI,3,Fundamental
UFUG 1502,GeneralPhysicsII,3,Fundamental
UFUG 1503,HonorsGeneralPhysicsI,3,Fundamental
UFUG 1504,HonorsGeneralPhysicsII,3,Fundamental
UFUG 1601,IntroductiontoComputerScience,3,Fundamental
UFUG 1701,IntroductiontoCivilEngineering,3,Fundamental
UFUG 1801,PrincipleofEconomics,3,Fundamental
UFUG 1811,QuantitativeDataAnalysisforSocialResearch,3,Fundamental
DSAA 2088,Mathematics for Data Science,3,Fundamental
UFUG 2103,LinearAlgebra,3,Fundamental
UFUG 2104,AppliedStatistics,3,Fundamental
UFUG 2106,DiscreteMathematics,3,Fundamental
UFUG 2601,C++ Programming,4,Fundamental
DSAA 1001,orAIAA 2205,3,Major Required
DSAA 1001,IntroductiontoDataScienceandAnalytics,3,Major Required
DSAA 1001,IntroductiontoDataScienceandAnalytics,3,Major Required
DSAA 1085,ProbabilityandStatistics,4,Major Required
DSAA 2011,Machine Learning,3,Major Required
DSAA 2011,MachineLearning,3,Major Required
DSAA 2012,DeepLearning,3,Major Required
DSAA 2031,DatabaseManagementSystems,3,Major Required
DSAA 2042,ComputerArchitectureandSystems,4,Major Required
DSAA 2043,DesignandAnalysisofAlgorithms,3,Major Required
DSAA 2044,DataScienceProject,3,Major Required
DSAA 2049,AdvancedProgrammingLanguages,4,Major Required
DSAA 2088,MathematicsforDataScience,3,Major Required
AIAA 2205,IntroductiontoArtificialIntelligence,3,Major Required
AIAA 2205,IntroductiontoArtificialIntelligence,3,Major Required
DLED 3020,EnglishCommunicationIforInformationHubPrograms,3,Major Required
DSAA 3032,IntroductiontoHigh-PerformanceandParallelComputing,3,Major Required
DSAA 3041,AdvancedAlgorithms,3,Major Required
DSAA 3051,IntroductiontoNaturalLanguageProcessingandKnowledge,3,Major Required
DSAA 3052,DataScienceforComputerVisionandMultimedia,3,Major Required
DSAA 3053,IntroductiontoReinforcementLearning,3,Major Required
DSAA 3055,DataPrivacyandSecurity,3,Major Required
DSAA 3070,BayesianModelsandApplications,3,Major Required
DSAA 3071,TheoriesinComputing,3,Major Required
DSAA 3072,AdvancedTheoriesinComputing,3,Major Required
DSAA 3073,TheoriesinDataScience,4,Major Required
DSAA 3074,DeepLearningforScience,3,Major Required
AIAA 3111,Introduction to Data Mining,3,Major Required
AIAA 3111,IntroductiontoDataMining,3,Major Required
FTEC 3130,StatisticalInference,3,Major Required
DSAA 4011,AdvancedMachineLearningandDeepLearning,4,Major Required
DSAA 4012,MachineLearningSystems,3,Major Required
DSAA 4018,DataScienceforCross-disciplinaryApplications,3,Major Required
DSAA 4019,SpecialTopicsinDataScience,4,Major Required
DLED 4020,EnglishCommunicationIIforInformationHubPrograms,3,Major Required
DSAA 4031,DataManagementforDataScience,3,Major Required
DSAA 4032,ComplexDataManagement,3,Major Required
DSAA 4040,CloudComputingandBigDataSystems,3,Major Required
DSAA 4070,DataScienceforBatteryTechnologies,3,Major Required
DSAA 4086,IntroductiontoOptimization,3,Major Required
FTEC 4280,DataVisualization,3,Major Required
DSAA 4591,FinalYearCapstoneProject,6,Major Required
AA 2290,"Ethics,PrivacyandSecurityinArtificialIntelligence",3,Major Required
